plotid,quadrant,Cru_Mass,Cruc+sample,Sample_Mass,mass_Post_550C,Mass_Post_1050C,remainder,percent_total_organic_content,Post_550-post_1050,molecular_conversion,percent_carbonate_content
1caa,q1,16.0511,27.5847,11.5336,26.4795,26.4195,1.1052,9.582,0.06,0.0816,0.707
1caa,q2,12.5469,21.4699,8.923,20.674,20.624,0.7959,8.92,0.05,0.068,0.762
1caa,q3,18.2107,28.2334,10.0227,27.3144,27.242,0.919,9.169,0.0724,0.098464,0.982
1caa,q4,14.4694,26.4959,12.0265,26.0254,25.9683,0.4705,3.912,0.0571,0.077656,0.646
1cab,q1,17.0192,27.6662,10.647,26.7563,26.6813,0.9099,8.546,0.075,0.102,0.958
1cab,q2,16.3044,27.5872,11.2828,26.8922,26.8429,0.695,6.16,0.0493,0.067048,0.594
1cab,q3,18.7113,29.2777,10.5664,28.5642,28.541,0.7135,6.753,0.0232,0.031552,0.299
1cab,q4,18.8665,28.0251,9.1586,27.1712,27.1183,0.8539,9.323,0.0529,0.071944,0.786
1n,q1,14.8413,24.1087,9.2674,22.7339,22.7006,1.3748,14.835,0.0333,0.045288,0.489
1n,q2,15.1389,25.3199,10.181,24.2857,24.2486,1.0342,10.158,0.0371,0.050456,0.496
1n,q3,17.8232,28.1369,10.3137,26.9266,26.8998,1.2103,11.735,0.0268,0.036448,0.353
1n,q4,16.3584,26.6145,10.2561,26.1398,26.0866,0.4747,4.628,0.0532,0.072352,0.705
1ga,q1,15.8768,26.4351,10.5583,25.8268,25.8008,0.6083,5.761,0.026,0.03536,0.335
1ga,q2,18.3888,27.801,9.4122,26.8514,26.7569,0.9496,10.089,0.0945,0.12852,1.365
1ga,q3,17.7288,27.8787,10.1499,27.0997,27.0621,0.779,7.675,0.0376,0.051136,0.504
1ga,q4,18.2388,29.6112,11.3724,28.7497,28.7055,0.8615,7.575,0.0442,0.060112,0.529
1gb,q1,18.7144,29.5511,10.8367,29.1632,29.084,0.3879,3.58,0.0792,0.107712,0.994
1gb,q2,18.4251,27.4937,9.0686,27.2262,27.2051,0.2675,2.95,0.0211,0.028696,0.316
1gb,q3,18.8489,29.336,10.4871,28.9213,28.8887,0.4147,3.954,0.0326,0.044336,0.423
1gb,q4,18.0644,28.3116,10.2472,27.6648,27.6401,0.6468,6.312,0.0247,0.033592,0.328
1gc,q1,17.2996,26.756,9.4564,25.6215,25.5838,1.1345,11.997,0.0377,0.051272,0.542
1gc,q2,16.5115,25.8858,9.3743,25.0531,25.0113,0.8327,8.883,0.0418,0.056848,0.606
1gc,q3,18.6813,27.3968,8.7155,26.5703,26.5242,0.8265,9.483,0.0461,0.062696,0.719
1gc,q4,18.0681,28.7844,10.7163,27.8224,27.7768,0.962,8.977,0.0456,0.062016,0.579
1o,q1,12.6795,23.7793,11.0998,23.4416,23.3836,0.3377,3.042,0.058,0.07888,0.711
1o,q2,18.8552,29.4046,10.5494,29.0214,28.9898,0.3832,3.632,0.0316,0.042976,0.407
1o ,q3,12.2655,22.5657,10.3002,22.2326,22.1975,0.3331,3.234,0.0351,0.047736,0.463
1o,q4,18.1151,29.4046,11.2895,28.8754,28.8432,0.5292,4.688,0.0322,0.043792,0.388
1ma,q1,16.9832,27.5239,10.5407,26.7731,26.7263,0.7508,7.123,0.0468,0.063648,0.604
1ma,q2,18.4611,27.3267,8.8656,26.3781,26.3512,0.9486,10.7,0.0269,0.036584,0.413
1ma,q3,18.4796,27.9489,9.4693,26.865,26.8169,1.0839,11.446,0.0481,0.065416,0.691
