plotid,age_2022,w1,w2,avg_w,area
1i,5,5.12,3.28,4.2,13.8544119
1i,5,2.47,3.69,3.08,7.450594844
1i,5,3.78,5.84,4.81,18.1710351
1i,5,3.21,3.41,3.31,8.60489355
1i,5,2.29,3.58,2.935,6.765590779
1i,5,1.98,2.41,2.195,3.78406479
1i,5,2.46,2.18,2.32,4.227323504
1i,5,1.92,2.43,2.175,3.715421048
1i,5,3.57,3.59,3.58,10.06596852
1i,5,2.22,2.34,2.28,4.082810364
1mb,9,6.54,5.56,6.05,28.74751199
1mb,9,2.42,2.84,2.63,5.432515968
1mb,9,3.97,3.35,3.66,10.52087075
1mb,9,1.63,4.99,3.31,8.60489355
1mb,9,4.98,5.1,5.04,19.95035314
1mb,9,0.96,2.21,1.585,1.973095234
1mb,9,2.78,2.48,2.63,5.432515968
1mb,9,2.17,3.79,2.98,6.974643959
1mb,9,4.79,6.64,5.715,25.65204446
1mb,9,3.37,4.9,4.135,13.42890317
1ma,10,3.25,5.56,4.405,15.23987272
1ma,10,5.36,4.21,4.785,17.98263787
1ma,10,1.21,1.62,1.415,1.572542509
1ma,10,6.92,13.05,9.985,78.30430746
1ma,10,3.31,,3.31,8.60489355
1ma,10,5.5,4.73,5.115,20.54853151
1ma,10,2.33,5.64,3.985,12.47228901
1ma,10,2.94,2.05,2.495,4.889119072
1ma,10,2.64,1.2,1.92,2.895289344
1ma,10,4.99,1.84,3.415,9.159482359
1gc,2,2.12,2.78,2.45,4.714348494
1gc,2,1.22,0.9,1.06,0.882472631
1gc,2,1.28,1.64,1.46,1.674153311
1gc,2,1.22,1.79,1.505,1.778944972
1gc,2,0.91,0.76,0.835,0.547598772
1gc,2,1.12,0.73,0.925,0.672005736
1gc,2,1.8,1.69,1.745,2.391555022
1gc,2,1.24,1.22,1.23,1.188227878
1gc,2,1.21,1.33,1.27,1.266767628
1gc,2,1.48,1.09,1.285,1.296867987
1gb,3,4.02,2.42,3.22,8.143315439
1gb,3,4.65,3.91,4.28,14.38722556
1gb,3,1.45,1.3,1.375,1.484892148
1gb,3,2,1.98,1.99,3.11025264
1gb,3,1.64,3.02,2.33,4.263844488
1gb,3,3.41,1.07,2.24,3.940810496
1gb,3,2.41,2.43,2.42,4.599601919
1gb,3,1.63,1.85,1.74,2.377869471
1gb,3,4.62,3.08,3.85,11.64155444
1gb,3,2.59,1.65,2.12,3.529890524
1cab,13,7.77,5.91,6.84,36.74529328
1cab,13,9.54,7.42,8.48,56.47824838
1cab,13,5.57,10.25,7.91,49.14082932
1cab,13,7.89,7.72,7.805,47.84486454
1cab,13,9.9,6.32,8.11,51.65724291
1cab,13,6.98,5.23,6.105,29.27256986
1cab,13,10.44,9.13,9.785,75.19884575
1cab,13,9.18,5.81,7.495,44.1197242
1cab,13,9.3,9.43,9.365,68.88189366
1cab,13,6.03,6.57,6.3,31.17242678
1j,19,12.77,9.65,11.21,98.69626998
1j,19,5.98,5.07,5.525,23.97474956
1j,19,11.96,10.64,11.3,100.2874068
1j,19,4.76,10.19,7.475,43.88457619
1j,19,11.33,6.71,9.02,63.90025476
1j,19,5.95,8.85,7.4,43.0083671
1j,19,4.95,6.56,5.755,26.01238483
1j,19,6,5.64,5.82,26.60329828
1j,19,7.73,4.87,6.3,31.17242678
1j,19,12.46,6.53,9.495,70.80753125
