plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1f,1,NULL,NULL,NULL,NULL,
1f,2,7.7,n,n,n,
1f,2,5.7,n,n,n,
1f,2,3.4,y,n,n,
1f,2,9,n,n,n,
1f,2,6.3,n,n,n,
1f,2,2,y,n,n,
1f,2,3,y,n,n,
1f,2,4.5,y,n,n,
1f,3,16.4,n,n,n,
1f,3,16.7,n,n,n,
1f,3,13.8,n,n,n,
1f,3,17.6,n,n,n,
1f,3,5.1,y,n,n,
1f,4,21.4,n,n,n,
1f,4,20.9,n,n,n,
1f,4,12.8,n,n,n,
1f,4,18.9,n,n,n,
1f,4,22.9,n,n,n,
1f,4,14.3,n,n,n,
1f,5,30.9,n,n,n,
1f,5,33.4,n,n,n,
1f,6,10.8,y,n,n,
1f,6,14.2,n,n,n,tree_leans
1f,7,31.2,n,n,n,
1f,7,11.1,n,n,n,
1f,7,28.5,n,n,n,
1f,8,19.9,n,n,n,
1f,9,7.6,y,n,n,
1f,9,19.4,n,n,n,
1f,10,7.6,n,n,n,
1f,10,10,n,n,n,
1f,10,5.8,n,n,n,
1f,10,6.5,n,n,n,
1f,10,3.8,y,n,n,
1ga,1,31,n,n,n,
1ga,1,31,n,n,n,ivy
1ga,1,14.7,n,n,n,ivy
1ga,1,14.3,n,n,n,ivy
1ga,1,19.7,n,n,n,ivy
1ga,1,5.1,y,n,n,
1ga,1,27,n,n,n,ivy
1ga,1,22.6,n,n,n,
1ga,1,5.1,n,n,n,
1ga,1,3.6,n,n,n,
1ga,1,3.4,n,n,n,
1ga,1,8.7,y,n,n,
1ga,2,NULL,NULL,NULL,NULL,
1ga,3,8.5,n,n,n,
1ga,3,8.5,n,n,n,
1ga,4,4.1,n,n,n,
1ga,4,2.8,y,n,n,
1ga,4,6.6,n,n,n,
1ga,4,12.3,n,n,n,
1ga,4,10.4,n,n,n,
1ga,5,1,n,n,n,
1ga,5,0.6,n,n,n,
1ga,5,0.3,n,n,n,
1ga,5,1,n,n,n,
1ga,5,0.8,n,n,n,
1ga,5,0.6,n,n,n,
1ga,5,0.2,n,n,n,
1ga,5,0.4,y,n,n,
1ga,5,0.3,n,n,n,
1ga,5,1.5,y,n,n,
1ga,5,1.3,n,n,n,
1ga,5,1.3,y,n,n,
1ga,5,3.2,y,n,n,
1ga,5,5,n,n,n,
1ga,5,7.5,n,n,n,
1ga,5,6.2,n,n,n,
1ga,5,5.2,n,n,n,
1ga,5,8.3,n,n,n,
1ga,5,5.9,n,n,n,
1ga,6,28.4,n,n,n,
1ga,6,13.9,n,n,n,
1ga,6,2.3,y,n,n,
1ga,6,11.9,n,n,n,
1ga,6,2.8,y,n,n,
1ga,6,25.8,n,n,n,
1ga,6,11.6,y,n,n,
1ga,6,27.1,n,n,n,
1ga,6,13.9,n,n,y,
1ga,6,12.9,n,n,n,
1ga,6,21.4,n,n,n,
1ga,6,7,y,n,n,
1ga,6,1.3,y,n,n,
1ga,6,21,n,n,n,
1ga,6,13.4,n,n,n,
1ga,6,10.4,y,n,n,
1ga,7,30.8,n,n,n,ivy
1ga,7,5.6,n,n,n,
1ga,7,1.2,y,n,n,
1ga,7,1.5,y,n,n,
1ga,7,3,y,n,n,
1ga,7,0.9,n,n,n,
1ga,8,3.4,y,n,n,
1ga,8,3.2,y,n,n,
1ga,8,2.6,y,n,n,
1ga,8,2,y,n,n,
1ga,8,2.7,y,n,n,
1ga,8,9.8,n,n,n,
1ga,8,9.8,n,n,n,
1ga,8,4.6,n,n,n,
1ga,8,5.9,n,n,n,
1ga,8,11.4,n,n,n,ivy
1ga,8,15.1,n,n,n,ivy
1ga,8,14.8,n,n,y,
1ga,8,4,y,n,n,
1ga,8,2.2,y,n,n,
1ga,8,1.6,y,n,n,
1ga,8,6.2,n,n,n,
1ga,8,0.9,n,n,n,
1ga,8,7.8,n,n,n,ivy
1ga,8,6.7,n,n,n,
1ga,8,9.5,n,n,n,
1ga,8,1.6,y,n,n,
1ga,9,2.2,n,n,n,
1ga,9,2.5,n,n,n,
1ga,9,3.9,n,n,n,
1ga,9,0.8,y,n,n,
1ga,9,1.6,y,n,n,
1ga,9,3.4,y,n,n,
1ga,9,7.7,n,n,n,ivy
1ga,9,2.4,y,n,n,
1ga,10,8.2,n,n,n,
1ga,10,10,n,y,n,
1ga,10,7.5,n,n,n,
1ga,10,5.4,n,n,n,
1ga,10,0.7,y,n,n,
1gb,1,3.1,n,n,n,
1gb,1,1.5,n,n,n,
1gb,1,0.5,y,n,n,
1gb,1,1.3,n,n,n,
1gb,1,0.7,y,n,n,
1gb,1,2,n,y,n,
1gb,1,1.2,n,n,y,
1gb,1,3,n,n,n,
1gb,1,4.6,n,n,n,
1gb,1,2,n,n,n,
1gb,1,1.9,n,n,n,
1gb,1,2.1,n,n,n,
1gb,2,NULL,NULL,NULL,NULL,
1gb,3,1.7,n,n,n,
1gb,3,4.2,n,n,n,
1gb,3,1.6,n,n,n,
1gb,3,1.4,n,n,n,
1gb,3,3.9,n,n,n,
1gb,3,2,n,n,n,
1gb,3,1.7,n,n,n,
1gb,3,2.8,n,n,n,
1gb,4,2.3,n,n,n,
1gb,4,0.8,y,n,n,
1gb,4,1.1,n,n,n,
1gb,4,1.5,n,n,n,
1gb,4,2,n,n,n,
1gb,4,3.4,n,n,n,
1gb,4,0.8,y,n,n,
1gb,4,1.9,n,n,n,
1gb,4,1.2,y,n,n,
1gb,4,1.7,n,n,n,
1gb,4,0.8,y,n,n,
1gb,4,2.3,n,n,n,
1gb,5,1.4,y,n,n,
1gb,5,1.9,n,n,n,
1gb,5,2.3,n,n,n,
1gb,5,3.4,n,n,n,
1gb,5,3.1,n,n,n,
1gb,5,2.6,n,n,n,
1gb,5,2.4,n,n,n,
1gb,5,2.4,n,n,n,
1gb,5,2.6,n,n,n,
1gb,5,2.4,n,n,n,
1gb,5,0.9,y,n,n,
1gb,5,1.7,n,n,n,
1gb,5,4,n,n,n,
1gb,6,0.7,y,n,n,
1gb,6,1,y,n,n,
1gb,6,4.5,n,n,n,
1gb,6,1.4,y,n,n,
1gb,6,4.5,n,n,n,
1gb,6,3.9,n,n,n,
1gb,6,3.9,n,n,n,
1gb,6,1.7,n,n,n,
1gb,6,4.5,n,n,n,
1gb,6,1.3,y,n,n,
1gb,6,0.5,y,n,n,
1gb,6,0.7,y,n,n,
1gb,7,0.6,y,n,n,
1gb,7,1.8,n,n,n,
1gb,7,4.3,n,n,n,
1gb,7,0.4,y,n,n,
1gb,7,2.1,n,n,n,
1gb,7,0.4,y,n,n,
1gb,7,0.6,y,n,n,
1gb,7,3.2,n,n,n,
1gb,7,4.6,n,n,n,
1gb,7,1.2,y,n,n,
1gb,8,4.4,n,n,n,
1gb,8,2.9,n,n,n,
1gb,8,1.7,y,n,n,
1gb,8,2.9,y,n,n,
1gb,8,1.1,n,n,n,
1gb,8,4,y,n,n,
1gb,8,2.1,y,n,n,
1gb,8,4.1,n,n,n,
1gb,8,4.7,n,n,n,
