age,weight,eq,id,year,formal_id,,
2,6.896821,cpa,1gc,2022,C,84.54271243,mean
3,23.70627,cpa,1gb,2022,D,77.49072342,st dev
5,33.124332,cpa,1i,2022,E,210.822399,max
9,51.650271,cpa,1mb,2022,G,6.896821,min
10,69.656824,cpa,1ma,2022,H,29.28874044,
13,195.94207,cpa,1cab,2022,I,,
19,210.822399,cpa,1j,2022,J,,
0,0,hd,1caa,2023,A,69.79860473,mean
1,1.150235887,hd,1caa,2024,A,60.37712898,st dev
2,11.75506599,hd,1o,2023,B,178.320033,max
3,6.273271701,hd,1gc,2023,C,0,min
3,14.73039623,hd,1o,2024,B,13.50073647,
4,20.93916868,hd,1gb,2023,D,,
4,6.536675736,hd,1gc,2024,C,,
5,37.56190898,hd,1gb,2024,D,,
6,17.02306228,hd,1i,2023,E,,
7,38.72794365,hd,1i,2024,E,,
8,96.36478248,hd,2e,2023,F,,
9,129.50246,hd,2e,2024,F,,
10,67.12191045,hd,1mb,2023,G,,
11,146.2270504,hd,1ma,2023,H,,
11,178.320033,hd,1mb,2024,G,,
12,173.9136842,hd,1ma,2024,H,,
14,107.1536855,hd,1cab,2023,I,,
15,145.5465326,hd,1cab,2024,I,,
20,88.97425555,hd,1j,2023,J,,
21,108.1499712,hd,1j,2024,J,,
